Channel,Constants,old,new,difference,in
0,DAC_VOLTAGE_GAIN,10016.0,10016.0,0,%
0,DAC_VOLTAGE_OFFSET,215.0,215.0,0.0,abs
0,ADC_U_LOAD_GAIN,4646.0,4647.0,-0.02,%
0,ADC_U_LOAD_OFFSET,-756.0,-764.0,8.0,abs
0,ADC_U_REGULATOR_GAIN,10004.0,10004.0,0,%
0,ADC_U_REGULATOR_OFFSET,-864.0,-870.0,6.0,abs
0,ADC_I_MON_GAIN,-9989.0,-9944.0,0.45,%
0,ADC_I_MON_OFFSET,-583.0,-394.0,-189.0,abs
0,DAC_CURRENT_GAIN,-10020.0,-10050.0,-0.3,%
0,DAC_CURRENT_OFFSET,-1177.0,-978.0,-199.0,abs
1,DAC_VOLTAGE_GAIN,10017.0,10017.0,0,%
1,DAC_VOLTAGE_OFFSET,169.0,168.0,1.0,abs
1,ADC_U_LOAD_GAIN,4647.0,4647.0,0,%
1,ADC_U_LOAD_OFFSET,-829.0,-827.0,-2.0,abs
1,ADC_U_REGULATOR_GAIN,10000.0,10000.0,0,%
1,ADC_U_REGULATOR_OFFSET,-772.0,-774.0,2.0,abs
1,ADC_I_MON_GAIN,-150243.0,-150584.0,-0.23,%
1,ADC_I_MON_OFFSET,4039.0,3322.0,717.0,abs
1,DAC_CURRENT_GAIN,-661.0,-663.0,-0.3,%
1,DAC_CURRENT_OFFSET,26.0,49.0,-23.0,abs
2,DAC_VOLTAGE_GAIN,10016.0,10016.0,0,%
2,DAC_VOLTAGE_OFFSET,167.0,167.0,0.0,abs
2,ADC_U_LOAD_GAIN,4649.0,4649.0,0,%
2,ADC_U_LOAD_OFFSET,-883.0,-889.0,6.0,abs
2,ADC_U_REGULATOR_GAIN,10003.0,10002.0,0.01,%
2,ADC_U_REGULATOR_OFFSET,-823.0,-815.0,-8.0,abs
2,ADC_I_MON_GAIN,-9966.0,-9970.0,-0.04,%
2,ADC_I_MON_OFFSET,-89.0,-132.0,43.0,abs
2,DAC_CURRENT_GAIN,-10075.0,-10103.0,-0.28,%
2,DAC_CURRENT_OFFSET,-212.0,-27.0,-185.0,abs
3,DAC_VOLTAGE_GAIN,10017.0,10017.0,0,%
3,DAC_VOLTAGE_OFFSET,269.0,269.0,0.0,abs
3,ADC_U_LOAD_GAIN,4646.0,4647.0,-0.02,%
3,ADC_U_LOAD_OFFSET,-839.0,-844.0,5.0,abs
3,ADC_U_REGULATOR_GAIN,10000.0,10001.0,-0.01,%
3,ADC_U_REGULATOR_OFFSET,-783.0,-796.0,13.0,abs
3,ADC_I_MON_GAIN,-9974.0,-9964.0,0.1,%
3,ADC_I_MON_OFFSET,-111.0,-55.0,-56.0,abs
3,DAC_CURRENT_GAIN,-9989.0,-10009.0,-0.2,%
3,DAC_CURRENT_OFFSET,-1054.0,-927.0,-127.0,abs
4,DAC_VOLTAGE_GAIN,10014.0,10014.0,0,%
4,DAC_VOLTAGE_OFFSET,198.0,197.0,1.0,abs
4,ADC_U_LOAD_GAIN,4641.0,4643.0,-0.04,%
4,ADC_U_LOAD_OFFSET,-739.0,-742.0,3.0,abs
4,ADC_U_REGULATOR_GAIN,9994.0,9994.0,0,%
4,ADC_U_REGULATOR_OFFSET,-719.0,-728.0,9.0,abs
4,ADC_I_MON_GAIN,-9994.0,-9995.0,-0.01,%
4,ADC_I_MON_OFFSET,-621.0,-622.0,1.0,abs
4,DAC_CURRENT_GAIN,-9850.0,-9920.0,-0.71,%
4,DAC_CURRENT_OFFSET,-1995.0,-1434.0,-561.0,abs
5,DAC_VOLTAGE_GAIN,20027.0,20027.0,0,%
5,DAC_VOLTAGE_OFFSET,305.0,313.0,-8.0,abs
5,ADC_U_LOAD_GAIN,4644.0,4644.0,0,%
5,ADC_U_LOAD_OFFSET,-736.0,-746.0,10.0,abs
5,ADC_U_REGULATOR_GAIN,4575.0,4575.0,0,%
5,ADC_U_REGULATOR_OFFSET,-783.0,-788.0,5.0,abs
5,ADC_I_MON_GAIN,-149813.0,-150048.0,-0.16,%
5,ADC_I_MON_OFFSET,8799.0,8800.0,-1.0,abs
5,DAC_CURRENT_GAIN,-659.0,-662.0,-0.45,%
5,DAC_CURRENT_OFFSET,-31.0,8.0,-39.0,abs
6,DAC_VOLTAGE_GAIN,10014.0,10013.0,0.01,%
6,DAC_VOLTAGE_OFFSET,239.0,241.0,-2.0,abs
6,ADC_U_LOAD_GAIN,4644.0,4643.0,0.02,%
6,ADC_U_LOAD_OFFSET,-709.0,-697.0,-12.0,abs
6,ADC_U_REGULATOR_GAIN,9994.0,9994.0,0,%
6,ADC_U_REGULATOR_OFFSET,-784.0,-780.0,-4.0,abs
6,ADC_I_MON_GAIN,-9935.0,-10001.0,-0.66,%
6,ADC_I_MON_OFFSET,232.0,-207.0,439.0,abs
6,DAC_CURRENT_GAIN,-9956.0,-10050.0,-0.94,%
6,DAC_CURRENT_OFFSET,-683.0,75.0,-758.0,abs
7,DAC_VOLTAGE_GAIN,10016.0,10017.0,-0.01,%
7,DAC_VOLTAGE_OFFSET,105.0,103.0,2.0,abs
7,ADC_U_LOAD_GAIN,4635.0,4632.0,0.06,%
7,ADC_U_LOAD_OFFSET,-741.0,-705.0,-36.0,abs
7,ADC_U_REGULATOR_GAIN,9993.0,9994.0,-0.01,%
7,ADC_U_REGULATOR_OFFSET,-671.0,-678.0,7.0,abs
7,ADC_I_MON_GAIN,-9988.0,-9987.0,0.01,%
7,ADC_I_MON_OFFSET,-331.0,-329.0,-2.0,abs
7,DAC_CURRENT_GAIN,9853.0,9843.0,0.1,%
7,DAC_CURRENT_OFFSET,131.0,185.0,-54.0,abs
8,DAC_VOLTAGE_GAIN,-41588.0,-41588.0,0,%
8,DAC_VOLTAGE_OFFSET,641436.0,641439.0,-3.0,abs
8,ADC_U_LOAD_GAIN,2758.0,2758.0,0,%
8,ADC_U_LOAD_OFFSET,-621.0,-615.0,-6.0,abs
8,ADC_U_REGULATOR_GAIN,1889.0,1889.0,0,%
8,ADC_U_REGULATOR_OFFSET,-659.0,-654.0,-5.0,abs
8,ADC_I_MON_GAIN,-296578.0,-296639.0,-0.02,%
8,ADC_I_MON_OFFSET,-1058.0,-1051.0,-7.0,abs
8,DAC_CURRENT_GAIN,663.0,662.0,0.15,%
8,DAC_CURRENT_OFFSET,-31.0,-20.0,-11.0,abs
9,DAC_VOLTAGE_GAIN,-41596.0,-41596.0,0,%
9,DAC_VOLTAGE_OFFSET,641812.0,641815.0,-3.0,abs
9,ADC_U_LOAD_GAIN,2758.0,2758.0,0,%
9,ADC_U_LOAD_OFFSET,-632.0,-622.0,-10.0,abs
9,ADC_U_REGULATOR_GAIN,1889.0,1889.0,0,%
9,ADC_U_REGULATOR_OFFSET,-611.0,-615.0,4.0,abs
9,ADC_I_MON_GAIN,-297392.0,-297458.0,-0.02,%
9,ADC_I_MON_OFFSET,-1939.0,-1940.0,1.0,abs
9,DAC_CURRENT_GAIN,661.0,661.0,0,%
9,DAC_CURRENT_OFFSET,15.0,22.0,-7.0,abs
10,DAC_VOLTAGE_GAIN,-41593.0,-41594.0,-0.0,%
10,DAC_VOLTAGE_OFFSET,641781.0,641789.0,-8.0,abs
10,ADC_U_LOAD_GAIN,2757.0,2757.0,0,%
10,ADC_U_LOAD_OFFSET,-580.0,-569.0,-11.0,abs
10,ADC_U_REGULATOR_GAIN,1889.0,1889.0,0,%
10,ADC_U_REGULATOR_OFFSET,-610.0,-610.0,0.0,abs
10,ADC_I_MON_GAIN,-297148.0,-297130.0,0.01,%
10,ADC_I_MON_OFFSET,-1715.0,-1694.0,-21.0,abs
10,DAC_CURRENT_GAIN,659.0,658.0,0.15,%
10,DAC_CURRENT_OFFSET,-47.0,-39.0,-8.0,abs
11,DAC_VOLTAGE_GAIN,-41593.0,-41593.0,0,%
11,DAC_VOLTAGE_OFFSET,641529.0,641534.0,-5.0,abs
11,ADC_U_LOAD_GAIN,2758.0,2758.0,0,%
11,ADC_U_LOAD_OFFSET,-615.0,-614.0,-1.0,abs
11,ADC_U_REGULATOR_GAIN,1889.0,1889.0,0,%
11,ADC_U_REGULATOR_OFFSET,-536.0,-538.0,2.0,abs
11,ADC_I_MON_GAIN,-297196.0,-297163.0,0.01,%
11,ADC_I_MON_OFFSET,-723.0,-732.0,9.0,abs
11,DAC_CURRENT_GAIN,658.0,657.0,0.15,%
11,DAC_CURRENT_OFFSET,-31.0,-20.0,-11.0,abs
12,DAC_VOLTAGE_GAIN,21971.0,21970.0,0.0,%
12,DAC_VOLTAGE_OFFSET,449.0,455.0,-6.0,abs
12,ADC_U_LOAD_GAIN,2607.0,2607.0,0,%
12,ADC_U_LOAD_OFFSET,-660.0,-670.0,10.0,abs
12,ADC_U_REGULATOR_GAIN,2592.0,2592.0,0,%
12,ADC_U_REGULATOR_OFFSET,-631.0,-635.0,4.0,abs
12,ADC_I_MON_GAIN,-296175.0,-296205.0,-0.01,%
12,ADC_I_MON_OFFSET,-1062.0,-1070.0,8.0,abs
12,DAC_CURRENT_GAIN,-667.0,-671.0,-0.6,%
12,DAC_CURRENT_OFFSET,-24.0,17.0,-41.0,abs
13,DAC_VOLTAGE_GAIN,-232934.0,-232934.0,0,%
13,DAC_VOLTAGE_OFFSET,-3502.0,-3498.0,-4.0,abs
13,ADC_U_LOAD_GAIN,430.0,430.0,0,%
13,ADC_U_LOAD_OFFSET,1284.0,1113.0,171.0,abs
13,ADC_U_REGULATOR_GAIN,431.0,431.0,0,%
13,ADC_U_REGULATOR_OFFSET,228.0,138.0,90.0,abs
13,ADC_I_MON_GAIN,-1181000.0,-1183059.0,-0.17,%
13,ADC_I_MON_OFFSET,6868.0,6880.0,-12.0,abs
13,DAC_CURRENT_GAIN,97.0,97.0,0,%
13,DAC_CURRENT_OFFSET,111.0,111.0,0.0,abs
14,DAC_VOLTAGE_GAIN,-21472.0,-21472.0,0,%
14,DAC_VOLTAGE_OFFSET,-328.0,-330.0,2.0,abs
14,ADC_U_LOAD_GAIN,2606.0,2605.0,0.04,%
14,ADC_U_LOAD_OFFSET,-584.0,-601.0,17.0,abs
14,ADC_U_REGULATOR_GAIN,2591.0,2591.0,0,%
14,ADC_U_REGULATOR_OFFSET,-540.0,-543.0,3.0,abs
14,ADC_I_MON_GAIN,-297390.0,-297185.0,0.07,%
14,ADC_I_MON_OFFSET,1467.0,1537.0,-70.0,abs
14,DAC_CURRENT_GAIN,665.0,669.0,-0.6,%
14,DAC_CURRENT_OFFSET,54.0,28.0,26.0,abs
15,DAC_VOLTAGE_GAIN,43851.0,43851.0,0,%
15,DAC_VOLTAGE_OFFSET,835.0,844.0,-9.0,abs
15,ADC_U_LOAD_GAIN,1818.0,1818.0,0,%
15,ADC_U_LOAD_OFFSET,-654.0,-658.0,4.0,abs
15,ADC_U_REGULATOR_GAIN,1808.0,1808.0,0,%
